

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
166.335  000.355  000.250: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/plugin/indent_blankline.vim
167.103  000.211  000.211: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
168.048  000.493  000.493: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/marks.nvim/plugin/marks.vim
168.446  000.035  000.035: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/nightfox.nvim/plugin/nightfox.vim
169.082  000.040  000.040: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
169.534  000.110  000.110: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/nvim-dap/plugin/dap.lua
171.205  000.370  000.370: require('nvim-treesitter.highlight')
171.578  001.154  000.783: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
173.619  001.603  001.603: require('treesitter-context')
173.629  001.641  000.038: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/nvim-treesitter-context/plugin/treesitter-context.vim
174.696  000.316  000.316: require('nvim-treesitter-textobjects')
175.793  000.284  000.284: require('nvim-treesitter.textobjects.shared')
175.823  000.575  000.291: require('nvim-treesitter.textobjects.select')
176.270  000.192  000.192: require('nvim-treesitter.textobjects.attach')
176.312  000.448  000.256: require('nvim-treesitter.textobjects.move')
176.643  000.207  000.207: require('nvim-treesitter.textobjects.swap')
176.932  000.241  000.241: require('nvim-treesitter.textobjects.lsp_interop')
176.984  002.669  000.882: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
177.699  000.073  000.073: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
178.477  000.053  000.053: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
